key,country,site,cluster,plot,siteid,longitude,latitude,year,plotcultmgd,postoposeq,vegstructure,severeero,rdr50,trees,shrubs,cropland,forest,grassland,wooded_grassland,grasslandall,bushland,shrubland,wetland,dom_landuse,shheight,shlength,shwidth,scientificName,shrubspecies_common,key_1,subplot
uuid:7d6efe08-c8d7-4105-ae3d-1994e29fe711,sri_lanka,matale,7,13,matale_7_13,80.6212,7.56253,2021,1,ridge_crest,bushland,0,1,1,1,0,0,0,0,0,1,0,0,perennial_crop,2.2,1.1,1.0,Swietenia macrophylla,mahogany,uuid:7d6efe08-c8d7-4105-ae3d-1994e29fe711/supl1_shrb_data[4],1
uuid:86b5f3d0-023f-4c7a-b5b6-918504112525,sri_lanka,matale,5,7,matale_5_7,80.6285,7.51555,2021,1,footslope,bushland,0,0,1,1,0,0,0,0,0,1,0,0,fallow,2.3,1.3,0.9,Chrysophyllum cainito,kos-eta-lawulu,uuid:86b5f3d0-023f-4c7a-b5b6-918504112525/supl1_shrb_data[1],1
uuid:86b5f3d0-023f-4c7a-b5b6-918504112525,sri_lanka,matale,5,7,matale_5_7,80.6285,7.51555,2021,1,footslope,bushland,0,0,1,1,0,0,0,0,0,1,0,0,fallow,2.1,1.3,1.1,Chrysophyllum cainito,kos-eta-lawulu,uuid:86b5f3d0-023f-4c7a-b5b6-918504112525/supl1_shrb_data[2],1
uuid:86b5f3d0-023f-4c7a-b5b6-918504112525,sri_lanka,matale,5,7,matale_5_7,80.6285,7.51555,2021,1,footslope,bushland,0,0,1,1,0,0,0,0,0,1,0,0,fallow,2.7,0.6,0.5,Litsea glutinosa,bomi,uuid:86b5f3d0-023f-4c7a-b5b6-918504112525/supl1_shrb_data[3],1
uuid:86b5f3d0-023f-4c7a-b5b6-918504112525,sri_lanka,matale,5,7,matale_5_7,80.6285,7.51555,2021,1,footslope,bushland,0,0,1,1,0,0,0,0,0,1,0,0,fallow,1.6,1.0,0.7,Chrysophyllum cainito,kos-eta-lawulu,uuid:86b5f3d0-023f-4c7a-b5b6-918504112525/supl1_shrb_data[4],1
uuid:86b5f3d0-023f-4c7a-b5b6-918504112525,sri_lanka,matale,5,7,matale_5_7,80.6285,7.51555,2021,1,footslope,bushland,0,0,1,1,0,0,0,0,0,1,0,0,fallow,1.8,1.2,0.8,Allophylus cobbe,kobbe,uuid:86b5f3d0-023f-4c7a-b5b6-918504112525/supl1_shrb_data[5],1
uuid:86b5f3d0-023f-4c7a-b5b6-918504112525,sri_lanka,matale,5,7,matale_5_7,80.6285,7.51555,2021,1,footslope,bushland,0,0,1,1,0,0,0,0,0,1,0,0,fallow,2.2,2.1,1.4,Mallotus philippensis,molabe,uuid:86b5f3d0-023f-4c7a-b5b6-918504112525/supl1_shrb_data[6],1
uuid:aa55455e-de7b-4e9f-96b4-5d18bf78fbad,sri_lanka,matale,7,1,matale_7_1,80.6245,7.56666,2021,1,bottomland,bushland,1,0,1,1,0,0,0,0,0,1,0,0,perennial_crop,2.8,2.6,2.6,Citrus sp.,dodam,uuid:aa55455e-de7b-4e9f-96b4-5d18bf78fbad/supl1_shrb_data[1],1
uuid:aa55455e-de7b-4e9f-96b4-5d18bf78fbad,sri_lanka,matale,7,1,matale_7_1,80.6245,7.56666,2021,1,bottomland,bushland,1,0,1,1,0,0,0,0,0,1,0,0,perennial_crop,2.2,2.0,1.6,Pouteria campechiana,lawulu,uuid:aa55455e-de7b-4e9f-96b4-5d18bf78fbad/supl1_shrb_data[2],1
uuid:aa55455e-de7b-4e9f-96b4-5d18bf78fbad,sri_lanka,matale,7,1,matale_7_1,80.6245,7.56666,2021,1,bottomland,bushland,1,0,1,1,0,0,0,0,0,1,0,0,perennial_crop,2.6,1.8,1.8,Annona muricata,katu anoda,uuid:aa55455e-de7b-4e9f-96b4-5d18bf78fbad/supl1_shrb_data[3],1
