"","key","country","site","cluster","plot","siteid","longitude","latitude","year","plotcultmgd","postoposeq","vegstructure","severeero","rdr50","trees","shrubs","cropland","forest","grassland","wooded_grassland","grasslandall","bushland","shrubland","wetland","dom_landuse"
"55","uuid:e29c8469-60c6-418f-ac9f-c6b6e8e2e96a","sri_lanka","kandy",6,9,"kandy_6_9",80.8313,7.33306,2024,0,"midslope","grassland",1,0,1,1,0,0,1,0,1,0,0,0,"other"
"56","uuid:322bb494-8e3f-4c61-abe5-10fcf42d244d","sri_lanka","kandy",6,10,"kandy_6_10",80.8303,7.33319,2024,1,"midslope","wooded_grassland",1,0,1,1,0,0,0,1,1,0,0,0,"other"
"57","uuid:7c9da575-efd4-4946-a0ec-739197ec4027","sri_lanka","kandy",6,11,"kandy_6_11",80.8278,7.33557,2024,0,"midslope","shrubland",0,1,0,1,0,0,0,0,0,0,1,0,"other"
"58","uuid:2118819a-d917-427d-8080-00516f8cb91c","sri_lanka","kandy",6,12,"kandy_6_12",80.8305,7.33766,2024,0,"midslope","shrubland",1,0,0,1,0,0,0,0,0,0,1,0,"other"
"59","uuid:5a508588-5c3c-4b45-a652-88fbd439e1f7","sri_lanka","kandy",6,15,"kandy_6_15",80.8272,7.33679,2024,0,"footslope","bushland",0,0,1,1,0,0,0,0,0,1,0,0,"other"
"60","uuid:e0be743c-0ff1-42ce-abc2-ce98799fa07e","sri_lanka","kandy",7,1,"kandy_7_1",80.8278,7.36595,2024,0,"midslope","shrubland",1,0,1,1,0,0,0,0,0,0,1,0,"protected_area"
"61","uuid:cc7f185a-e29b-46c6-95a0-83bfa4ed7a90","sri_lanka","kandy",7,3,"kandy_7_3",80.828,7.36474,2024,0,"midslope","forest",1,0,1,1,0,1,0,0,0,0,0,0,"protected_area"
"62","uuid:7f50de1f-7574-408e-848f-9d245aede93a","sri_lanka","kandy",7,4,"kandy_7_4",80.83,7.36079,2024,0,"midslope","grassland",1,0,0,0,0,0,1,0,1,0,0,0,"protected_area"
"63","uuid:cdafe618-a735-4679-a0c1-78f4ad33f63a","sri_lanka","kandy",7,5,"kandy_7_5",80.8236,7.36384,2024,0,"ridge_crest","forest",1,0,1,1,0,1,0,0,0,0,0,0,"protected_area"
"64","uuid:94d319d8-be52-4bed-8109-b23e4f86497a","sri_lanka","kandy",7,6,"kandy_7_6",80.8231,7.36177,2024,1,"midslope","bushland",1,1,1,1,0,0,0,0,0,1,0,0,"other"
"65","uuid:381e6add-9c23-4782-bba1-5976f499cbfd","sri_lanka","kandy",7,7,"kandy_7_7",80.8274,7.3662,2024,0,"ridge_crest","forest",1,0,1,1,0,1,0,0,0,0,0,0,"protected_area"
"66","uuid:fd96acb1-69c6-4038-82bb-fce42aba9ed3","sri_lanka","kandy",7,11,"kandy_7_11",80.8304,7.36563,2024,1,"midslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"67","uuid:325d0228-ecff-46a2-9b82-489b79169f3c","sri_lanka","kandy",7,12,"kandy_7_12",80.8286,7.36097,2024,1,"midslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"68","uuid:b741bc62-68dd-47a5-9b06-8ba5d2f24ea7","sri_lanka","kandy",7,14,"kandy_7_14",80.8282,7.36103,2024,0,"midslope","wooded_grassland",1,1,1,1,0,0,0,1,1,0,0,0,"protected_area"
"69","uuid:64d6ad25-72a6-4d88-b36e-e0263ebec4f6","sri_lanka","kandy",7,15,"kandy_7_15",80.8213,7.36513,2024,0,"midslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"70","uuid:cf32b0b3-9078-4b48-a9c1-297414dd3785","sri_lanka","kandy",8,1,"kandy_8_1",80.8153,7.3761,2024,0,"midslope","shrubland",1,1,1,1,0,0,0,0,0,0,1,0,"protected_area"
"71","uuid:59303c1b-552f-40af-bc17-fcf201cc1e1f","sri_lanka","kandy",8,2,"kandy_8_2",80.8158,7.37782,2024,0,"upland","grassland",1,1,0,1,0,0,1,0,1,0,0,0,"protected_area"
"72","uuid:52e7a166-b6da-42e6-b316-7ec5656b7358","sri_lanka","kandy",8,5,"kandy_8_5",80.8186,7.37914,2024,0,"upland","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"73","uuid:6ab67f28-29ae-400d-9321-50a7d24264dc","sri_lanka","kandy",8,7,"kandy_8_7",80.8162,7.37439,2024,0,"midslope","shrubland",1,1,1,1,0,0,0,0,0,0,1,0,"protected_area"
"74","uuid:3c815f1f-0cc2-4974-a9e2-0c81c709ae13","sri_lanka","kandy",8,8,"kandy_8_8",80.8156,7.37723,2024,0,"upland","forest",0,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"75","uuid:507ddbb8-cfe6-4d87-ab2b-2b1a2e53eccf","sri_lanka","kandy",8,9,"kandy_8_9",80.8169,7.37912,2024,0,"upland","grassland",1,1,1,1,0,0,1,0,1,0,0,0,"protected_area"
"76","uuid:87f67e5c-be8d-4640-af7a-1daad14517e9","sri_lanka","kandy",8,12,"kandy_8_12",80.8156,7.37465,2024,0,"midslope","forest",0,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"77","uuid:9598600c-76f1-4482-8f43-5de7544093b2","sri_lanka","kandy",8,13,"kandy_8_13",80.8172,7.37804,2024,0,"upland","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"78","uuid:78505539-e1ac-45b4-88da-c3578f25069d","sri_lanka","kandy",8,14,"kandy_8_14",80.8155,7.37938,2024,0,"upland","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"79","uuid:98e187b3-6175-4599-84f2-4e2675434950","sri_lanka","kandy",8,15,"kandy_8_15",80.8159,7.3787,2024,0,"upland","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"80","uuid:e2620f8a-9196-44d2-9168-163c4ecf9852","sri_lanka","kandy",8,16,"kandy_8_16",80.8284,7.37521,2024,0,"midslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"81","uuid:3f6d0d04-e570-4416-9dcb-97d937b09c1f","sri_lanka","kandy",8,17,"kandy_8_17",80.829,7.37495,2024,0,"midslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"82","uuid:925e3c3c-0164-45e1-978d-39b73483869e","sri_lanka","kandy",9,1,"kandy_9_1",80.8582,7.30315,2024,1,"midslope","cropland",1,1,1,1,1,0,0,0,0,0,0,0,"annual_crop"
"83","uuid:6c257190-1da1-4d61-9478-b40e15fd2da7","sri_lanka","kandy",9,2,"kandy_9_2",80.8573,7.30542,2024,1,"midslope","shrubland",0,1,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"84","uuid:0c22311b-5ab3-4625-9fe3-a3531706fef2","sri_lanka","kandy",9,3,"kandy_9_3",80.8573,7.30572,2024,0,"midslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"85","uuid:46d9d708-aaac-46d6-8be2-7324dfc12ae9","sri_lanka","kandy",9,4,"kandy_9_4",80.8577,7.30586,2024,1,"midslope","shrubland",0,1,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"86","uuid:da445f48-d788-44d4-a371-ed9e10982ab8","sri_lanka","kandy",9,5,"kandy_9_5",80.8569,7.30154,2024,1,"footslope","shrubland",0,1,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"87","uuid:1c33aa6d-49c5-4e3e-855d-5a678371bdf4","sri_lanka","kandy",9,6,"kandy_9_6",80.8516,7.30289,2024,1,"midslope","wooded_grassland",1,1,1,1,0,0,0,1,1,0,0,0,"woodlot"
"88","uuid:01feb097-cbb8-4c52-aa40-7c0d93db69b3","sri_lanka","kandy",9,8,"kandy_9_8",80.8595,7.3036,2024,0,"footslope","grassland",1,1,0,1,0,0,1,0,1,0,0,0,"other"
"89","uuid:469e3481-ee94-4d3d-a057-26ebb9a48d25","sri_lanka","kandy",9,9,"kandy_9_9",80.8595,7.30518,2024,1,"midslope","shrubland",1,1,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"90","uuid:4696739b-739e-4ad7-9bc5-3010dba2387b","sri_lanka","kandy",9,14,"kandy_9_14",80.8602,7.30354,2024,0,"footslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"91","uuid:0d1c02e9-f1e8-437c-bc89-4dbb49e6e0f6","sri_lanka","kandy",9,15,"kandy_9_15",80.8586,7.30207,2024,1,"footslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"other"
"92","uuid:56884d79-5901-4240-b516-6b14dcbf62d3","sri_lanka","kandy",10,1,"kandy_10_1",80.8428,7.3392,2024,0,"upland","forest",0,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"93","uuid:58655a1b-1e50-43ed-9d7f-672b5bc6cbb9","sri_lanka","kandy",10,2,"kandy_10_2",80.8465,7.34146,2024,0,"midslope","forest",0,0,1,1,0,1,0,0,0,0,0,0,"protected_area"
"94","uuid:b0d0a354-c48c-4844-9fbd-a95b49ec529f","sri_lanka","kandy",10,4,"kandy_10_4",80.848,7.34383,2024,1,"midslope","shrubland",1,0,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"95","uuid:9265315f-cde5-4685-86b5-9471ad853795","sri_lanka","kandy",10,6,"kandy_10_6",80.8462,7.33877,2024,0,"midslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"96","uuid:543ebb98-6b22-48be-9cf6-9a4088bfa8ba","sri_lanka","kandy",10,7,"kandy_10_7",80.8468,7.34276,2024,0,"midslope","forest",1,0,1,1,0,1,0,0,0,0,0,0,"protected_area"
"97","uuid:8ee4df2f-228c-433d-a98b-75d82cdfe377","sri_lanka","kandy",10,9,"kandy_10_9",80.8471,7.34085,2024,0,"midslope","bushland",1,1,1,1,0,0,0,0,0,1,0,0,"protected_area"
"98","uuid:1668dc00-0f27-4f50-b7f6-09b643ac81ef","sri_lanka","kandy",10,10,"kandy_10_10",80.851,7.33863,2024,0,"midslope","wooded_grassland",1,1,1,1,0,0,0,1,1,0,0,0,"protected_area"
"99","uuid:46a8fce9-243e-4034-a3eb-4d513979cfed","sri_lanka","kandy",10,11,"kandy_10_11",80.8463,7.33843,2024,0,"midslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"100","uuid:2a0b3d14-5a51-460d-82c7-46ed5c79469c","sri_lanka","kandy",10,14,"kandy_10_14",80.8439,7.34131,2024,0,"midslope","wooded_grassland",1,1,1,1,0,0,0,1,1,0,0,0,"protected_area"
"101","uuid:16c305e8-018a-462a-8b30-99ca2b439dc4","sri_lanka","kandy",10,15,"kandy_10_15",80.8489,7.34156,2024,0,"midslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"102","uuid:1e8062d5-0d4b-4df3-9e29-876673907798","sri_lanka","kandy",11,1,"kandy_11_1",80.8514,7.35499,2024,1,"bottomland","cropland",0,0,0,0,1,0,0,0,0,0,0,0,"annual_crop"
"103","uuid:03b3ca17-fef9-4e56-b29e-c4e609b90c83","sri_lanka","kandy",11,2,"kandy_11_2",80.8474,7.36128,2024,1,"footslope","shrubland",0,0,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"104","uuid:c5a264ec-8b07-45a3-b7e5-ce68e7d53f4e","sri_lanka","kandy",11,4,"kandy_11_4",80.8477,7.35979,2024,1,"footslope","shrubland",1,0,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"105","uuid:ed592404-600a-4c9a-a5a3-e59242bfaafb","sri_lanka","kandy",11,6,"kandy_11_6",80.8493,7.36205,2024,0,"midslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"106","uuid:da92c763-a8fe-4706-9857-d9792e3757a6","sri_lanka","kandy",11,9,"kandy_11_9",80.8461,7.35577,2024,0,"midslope","grassland",1,1,0,1,0,0,1,0,1,0,0,0,"other"
"107","uuid:8e976c2b-babb-4c25-88cf-68ef9c109213","sri_lanka","kandy",11,10,"kandy_11_10",80.8481,7.3644,2024,1,"midslope","shrubland",1,0,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"108","uuid:41653f70-18e8-43c1-a109-cac617482188","sri_lanka","kandy",11,11,"kandy_11_11",80.8486,7.36073,2024,0,"midslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"109","uuid:28fafbb9-44fa-48ad-965c-818f49c460e7","sri_lanka","kandy",11,12,"kandy_11_12",80.8469,7.35466,2024,0,"ridge_crest","shrubland",1,1,0,1,0,0,0,0,0,0,1,0,"other"
"110","uuid:84819a19-f0a9-4813-bdae-9bc13faa29b5","sri_lanka","kandy",11,13,"kandy_11_13",80.8511,7.3563,2024,1,"ridge_crest","woodland",1,0,1,0,0,0,0,0,0,0,0,0,"woodlot"
"111","uuid:747688a3-e10f-4593-aaa2-8cd60251b6af","sri_lanka","kandy",11,15,"kandy_11_15",80.8461,7.36126,2024,1,"midslope","shrubland",1,0,1,1,0,0,0,0,0,0,1,0,"perennial_crop"
"112","uuid:e508a5b0-ef53-4266-81b2-c735ec3c75c8","sri_lanka","kandy",12,4,"kandy_12_4",80.8556,7.37852,2024,0,"ridge_crest","forest",0,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"113","uuid:a4b343a5-6c9b-40bf-a793-b41aeabdbf8b","sri_lanka","kandy",12,5,"kandy_12_5",80.857,7.38242,2024,0,"midslope","forest",1,0,1,1,0,1,0,0,0,0,0,0,"protected_area"
"114","uuid:6de9dbd1-1816-4ffd-b62e-5468645b34c2","sri_lanka","kandy",12,6,"kandy_12_6",80.8559,7.37953,2024,0,"ridge_crest","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"115","uuid:d1aed008-58e2-4553-96ad-11d0da3b4316","sri_lanka","kandy",12,7,"kandy_12_7",80.847,7.38622,2024,0,"midslope","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
"116","uuid:c784e754-a5f7-454b-8e06-4cf10cbe2b9f","sri_lanka","kandy",12,9,"kandy_12_9",80.8566,7.38297,2024,0,"ridge_crest","forest",1,0,1,1,0,1,0,0,0,0,0,0,"protected_area"
"117","uuid:8d56c8ed-eaef-4cc1-96ce-348913b077cb","sri_lanka","kandy",12,10,"kandy_12_10",80.8557,7.37992,2024,0,"ridge_crest","forest",1,1,1,1,0,1,0,0,0,0,0,0,"protected_area"
